sno,content,link,date
14,"['put in place', 'measures at 27 black spots in the city which were identified with the help of a Mumbai based NGO Resilient India', 'spots in the city', 'accident at Mirchi Hotel Chowk', 'accident in October', 'charred in which', 'delay on the part of the civic body', 'delay on the issue', 'measures at the 27 black spots', 'put at the 333 black spots', 'injured in those black spots', 'put in place', 'lost in road accidents', 'prevent at the 27 black spots', 'take at the earliest for the safety of people', 'carry at 27 black spots']",https://timesofindia.indiatimes.com/city/nashik/no-speed-reducing-measures-yet-at-27-black-spots-in-nashik/articleshow/101443916.cms," Jul 3, 2023"
15,"['wall on Samruddhi Expressway', 'hit near Sinnar', 'hit on Monday', 'travelling in a multi - purpose vehicle MPV along the Samruddhi Mahamarg route', 'took near Khambale village near Sinnar', 'village near Sinnar', 'passengers in the MPV', 'control over the vehicle', 'crashed by the roadside', 'died on the spot', 'course at a hospital in Sinnar', 'hospital in Sinnar']",https://timesofindia.indiatimes.com/city/nashik/four-of-family-killed-as-muv-hits-wall-on-samruddhi-expressway/articleshow/100932875.cms,"Jun 12, 2023"
16,"['died in a freak mishap', 'died at Ghodbunder road in Thane', 'road in Thane', 'killing on the spot']",https://timesofindia.indiatimes.com/city/thane/40-year-old-driver-from-gujarat-dies-in-road-accident-in-thane/articleshow/101772479.cms,"Jul 15, 2023"
17,"['lost between January and May', 'lost in road accidents in Nashik city', 'accidents in Nashik city', 'lost in road accidents', 'provided by the city police', 'deaths between January and May', 'accounted in Nashik city', 'spreading among motorists about safe and defensive driving', 'motorists in large numbers', 'installed by the Nashik Municipal Smart City Development Corporation Ltd NMSCDCL', 'provided in the 18 25 age group who apply to the Nashik RTO for driving licences', 'Applicants in this age group', 'programme at the Children ’s Traffic Education Park of Nashik First organisation']",https://timesofindia.indiatimes.com/city/nashik/80-accident-deaths-between-jan-may-in-23-on-city-roads-slightly-less-than-22/articleshow/101324035.cms,"Jun 28, 2023"
18,"['announced on Wednesday', 'announced in Nagpur', 'put at entry gates of all the three RTO offices', 'office at Chikhli Kalamna and rural office near Lal Godam on Kamptee Road', 'office near Lal Godam', 'office on Kamptee Road', 'using in public places', 'ride in a public place', 'officers under your authority', 'visit in the form of a notice', 'visit by placing it in the facade at the main entrance', 'placing in the facade', 'placing at the main entrance', 'aimed at curbing deaths from head injuries in road accidents', 'injuries in road accidents']",https://timesofindia.indiatimes.com/city/nagpur/now-no-entry-for-helmetless-riders-at-rto-offices/articleshow/101176995.cms,"Jun 22, 2023"
19,"['hit by a dumper at Alandi', 'dumper at Alandi', 'hit on Sunday night', 'meet at the latter ’s pharmacy', 'Gevrai in Beed district', 'come on Sunday evening', 'came under the dumper', 'killed on the spot', 'booked on the charge of causing death by negligence', 'causing by negligence']",https://timesofindia.indiatimes.com/city/pune/senior-citizen-killed-in-road-accident/articleshow/100608920.cms,"May 30, 2023"
20,"['imposed under section 199(A of the MVA 1988', 'allow below 18 years of age', 'person under the age of 18 years', 'drive in any public place', 'driven in public places', 'driven by any person', 'accidents in the state', 'persons in Maharashtra', 'lose in road accidents', 'occurred between January 2022 and December 2022', 'caused by two wheeler drivers in which ', 'lost in which', 'issued in this regard', 'drivers in the entire state', 'basis in the entire state', 'person below the age of 20 years', 'drive in public places']",https://timesofindia.indiatimes.com/city/nagpur/are-you-a-minor-driving-without-a-licence-be-ready-to-pay-25000/articleshow/101120830.cms,"Jun 20, 2023"
21,"['killed in a road accident on Trimbak Road', 'accident on Trimbak Road', 'killed in the early hours of Wednesday', 'speeding on Wednesday', 'speeding on the Trimbak Road', 'control over his two wheeler', 'riding on the bike', 'injuries in the accident']",https://timesofindia.indiatimes.com/city/nashik/2-youngsters-killed-in-road-accident/articleshow/100516169.cms,"May 26, 2023"
22,"['truck in Buldhana district of Maharashtra', 'collided on Tuesday morning', 'took near Sindkhed Raja town', 'took on old Mumbai Nagpur highway in the district', 'highway in the district', 'going in Buldhana', 'hospital in Sindkhed Raja town']",https://timesofindia.indiatimes.com/city/nagpur/6-killed-10-injured-in-bus-truck-collision-in-maharashtras-buldhana-mumbai-nagpur-highway/articleshow/100436137.cms,"May 23, 2023"
23,"['died in a road accident', 'died near Parsodi', 'dropping at in laws place', 'was on bike', 'trailer on Wardha road', 'registered at Beltarodi police station', 'stolen in separate incidents', 'worth over ₹ 2 lakh', 'worth in separate burglaries in the city', 'burglaries in the city', 'took at Hudco Colony', 'clerk at district collectorate', 'gone on June 10', 'one at home', 'took at Kumbhar Toli in Nandanvan police station area', 'Toli in Nandanvan', 'was at his office', 'registered on Sunday']",https://timesofindia.indiatimes.com/city/nagpur/man-dies-after-bike-rams-stationary-trailer/articleshow/100951817.cms,"Jun 13, 2023"
24,"['is among the youngest donors in Mumbai', 'donors in Mumbai', 'deaths between hospitals', 'dead in Bombay Hospital near New Marine Lines', 'Hospital near New Marine Lines', 'was in 2001', 'marks in Mumbai', 'given by the National Organ and Tissue Transplant Organisation', 'salute on Sunday evening', 'lagging behind other states', 'lagging in terms of deceased donations']",https://timesofindia.indiatimes.com/city/mumbai/brain-dead-3-yr-old-among-youngest-organ-donors-in-city/articleshow/100951572.cms,"Jun 13, 2023"
25,"['are among the accused involved in an insurance scam', 'involved in an insurance scam', 'processed by the lawyer', 'signed by the chartered accountant who have been named as accused in the chargesheet submitted before the court', 'accused in the chargesheet submitted before the court', 'died in a road accident', 'died on December 25 2016 in Ahmednagar', 'December in Ahmednagar', 'station in Ahmednagar', 'accident in Bhelwandi', 'submitted in court', 'witness in the case', 'sign in the inquest panchnama or spot panchnama', 'report in court']",https://timesofindia.indiatimes.com/city/mumbai/witnesses-in-insurance-claim-fake-finds-probe/articleshow/100925281.cms,"Jun 12, 2023"
26,"['was in Nashik', 'was on Saturday', 'organised by the Nashik First organisation at its Children ’s Traffic Education Park', 'organisation at its Children ’s Traffic Education Park', 'others in general', 'die in road accidents in the state', 'accidents in the state', 'motorists on the streets', 'present at the programme', 'spoke at length', 'conducted in the city']",https://timesofindia.indiatimes.com/city/nashik/traffic-education-should-be-a-relentless-process-mumbai-cp/articleshow/100908772.cms,"Jun 11, 2023"
27,"['decision in this regard', 'lose in road accidents', 'driving on roads', 'units in Ambad Sinnar Dindori', 'visited among others', 'travel on two wheelers or four wheelers', 'wearing in the industrial areas', 'installed at the entrance gate of industrial units', 'lost in road accidents in Nashik city and the rural district', 'accidents in Nashik city and the rural district']",https://timesofindia.indiatimes.com/city/nashik/rto-tells-150-organizations-to-make-helmets-compulsory/articleshow/100836189.cms," Jun 8, 2023"
28,"['killed in separate road accidents in Narhe and Warje', 'accidents in Narhe and Warje', 'killed on Monday', 'riding on a bike', 'wheeler near the Swaminarayan temple', 'hit on Monday', 'ran at Ambegaon', 'divider in Warje', 'crashed on Monday', 'occurred on the lane', 'control over his vehicle']",https://timesofindia.indiatimes.com/city/pune/two-killed-in-separate-accidents-in-narhe-warje/articleshow/100808234.cms," Jun 7, 2023"
29,"['dashed in a bid to overtake it', 'brother in law', 'brother at Malad village on the Pune Solapur highway', 'village on the Pune Solapur highway', 'happened on Wednesday', 'happened near Daund', 'was in Latur', 'lived in Chakan', 'Waghare in Latur', 'brother in law', 'dashed in an attempt to overtake', 'hit by a dumper at Gunwadi chowk in Baramati', 'dumper at Gunwadi chowk in Baramati', 'chowk in Baramati', 'happened on Tuesday', 'lodged in this regard', 'came under the wheels of the dumper', 'fell on the opposite side']",https://timesofindia.indiatimes.com/city/pune/two-road-accidents-claim-4-lives-in-daund-baramati/articleshow/100516497.cms,"May 26, 2023"
30,"['travelling on a motorbike', ""vehicle on the Mumbai Ahmedabad highway in Maharashtra 's Palghar district"", ""highway in Maharashtra 's Palghar district"", 'collided on Thursday', 'were on their way from Harsul', 'were in Nashik district', 'were in Gujarat', 'collided at Sutrakar Phata', 'died on the spot']",https://timesofindia.indiatimes.com/city/thane/3-dead-on-mumbai-ahmedabad-highway-accident-in-palghar/articleshow/100507476.cms,"May 25, 2023"
31,"['killed in a road accident', 'hit by a speeding container on the Dwarka flyover', 'container on the Dwarka flyover', 'am on Tuesday', 'stopped on the flyover', 'suffered in the accident', 'brought at the hospital', 'jam on the flyover', 'has on one side of the road']",https://timesofindia.indiatimes.com/city/nashik/woman-7-yr-old-daughter-killed-as-container-rams-them/articleshow/100461555.cms,"May 24, 2023"
32,"['carried in various parts of Dhule', 'distributed among villagers industrial workers volunteers working as Mrutunjay Doots in various parts of the Dhule highway police unit', 'Doots in various parts of the Dhule highway police unit', 'spread on two national highways and other state highways', 'fatalities in road accidents']",https://timesofindia.indiatimes.com/city/nashik/highway-cops-distribute-over-100-helmets-in-dhule/articleshow/100389831.cms,"May 21, 2023"
33,"['killed in a road accident in the Adgaon area', 'accident in the Adgaon area', 'knocked by an unidentified sports utility vehicle SUV driver', 'knocked on Sunday night', 'taking on Sunday night', 'suffered in the accident']",https://timesofindia.indiatimes.com/city/nashik/woman-killed-in-hit-and-run-in-adgaon/articleshow/100343312.cms,"May 19, 2023"
34,"['couple in Palghar district in Maharashtra', 'district in Maharashtra', 'killed in a motorcycle accident', 'said on Saturday', 'killed in an accident near Bengaluru', 'accident near Bengaluru', 'killed on Friday', 'Committee in Maharashtra IMA', 'donation in the country']",https://timesofindia.indiatimes.com/city/navi-mumbai/maharashtra-doctor-couple-donates-organs-of-son-killed-in-road-accident/articleshow/100385323.cms,"May 20, 2023"
35,"['travelling in an autorickshaw', 'divider at Gaimukh', 'divider on the Ghodbunder Road in Thane', 'Road in Thane', 'crashed on Wednesday', 'lost over the vehicle', 'chief at the regional disaster management cell']",https://timesofindia.indiatimes.com/city/thane/woman-charred-to-death-as-autorickshaw-catches-fire-after-crash-in-thane/articleshow/99964612.cms," May 3, 2023"
36,"['killed in separate road accidents in Igatpuri', 'accidents in Igatpuri', 'killed on Sunday', 'died in one accident', 'killed in the other one', 'riding on the wrong side', 'riding on Sunday', 'riding at 6 pm', 'took on the new Samruddhi Highway flyover which passes through Igatpuri', 'speeding on the under construction flyover', 'took at 8.30pm', 'took on Sunday', 'injuries in the accident resulting in their death', 'resulting in their death']",https://timesofindia.indiatimes.com/city/nashik/2-killed-in-separate-road-accidents-in-igatpuri/articleshow/99283150.cms," Apr 6, 2023"
37,"['met on April 19', 'died on April 22', 'donated in which', 'witnessed in the city', 'witnessed on April 23', 'work in a private company', 'accident at Kalamba near Kalmeshwar', 'Kalamba near Kalmeshwar', 'admitted at Aureus Hospital', 'admitted on April 19', 'admitted at midnight', 'brain on April 22', 'counseled by Anirudha Koparkar and Dinesh Mandpe', 'Hospital in the city']",https://timesofindia.indiatimes.com/city/nagpur/for-the-first-time-post-pandemic-road-accident-victims-all-organs-donated/articleshow/99718582.cms,"Apr 24, 2023"
38,"['conducted by Regional Transport Office of Maharashtra government', 'introduce at all entry points of the expressway', 'had on December 31 2022', 'drivers on Samruddhi Expressway', 'inaugurated on December 11', 'decided in the meeting', 'organised at all eight entry points of the expressway', 'be on curbing overspeeding', 'set on the Nagpur Shirdi section', 'one in each district', 'set in the next seven days', 'sessions by RTO officials', 'resulted in the highest number of accidents', 'film on road safety', 'followed by a question paper solving by the driver and a pledge to not indulge in dangerous driving', 'solving by the driver', 'indulge in dangerous driving', 'accidents on the portion of the expressway', 'were among the major causes of accidents on the Samruddhi Mahamarg', 'accidents on the Samruddhi Mahamarg', 'attended by Nagpur rural and city']",https://timesofindia.indiatimes.com/city/nagpur/samruddhi-100-days-900-accidents-31-fatalities/articleshow/98880781.cms,"Mar 22, 2023"
39,"['action under the Motor Vehicles Act', 'face under 194C of the Motor Vehicles Act', 'driven in contravention of the provisions of section 128 or', 'deaths in road accidents', 'issued in this regard', 'riders in any government offices', 'issued by the transport commissioner ’s office which had directed all government offices across Maharashtra not to allow any two wheeler riders without helmets', 'come in government offices', 'staff at all the three transport offices of the city', 'killed in two wheeler accidents', 'awareness on the use of helmets in our area of work', 'use in our area of work', 'involved in this campaign']",https://timesofindia.indiatimes.com/city/nagpur/dept-heads-to-also-face-action-if-bikers-visit-govt-office-sans-helmets/articleshow/99599762.cms,"Apr 19, 2023"
40,"['lease on life', 'injured in a road accident', 'declared in a private city hospital', 'donated on April 12', 'donor in ZTCC Pune', 'done under ZTCC Pune', 'accident on Wednesday', 'took on the same day as the accident']",https://timesofindia.indiatimes.com/city/pune/brain-dead-woman-gives-life-to-three/articleshow/99528160.cms,"Apr 16, 2023"
41,"['come by nearly 20 %', 'rise in fatal accidents', 'analysis in the first three months of the year', 'rise in road accidents in Gadchiroli', 'accidents in Gadchiroli', 'increase in plying of vehicles', 'reported in Naxalite affected Gadchiroli district', 'enforcement on roads', 'resulted in an increase in road mishaps in the district', 'increase in road mishaps in the district', 'mishaps in the district', 'occurred on roads between Sironcha and Aheri and Sironcha and Arvi', 'roads between Sironcha and Aheri and Sironcha and Arvi', 'accidents by the transport commissioner', 'died in 52 fatal accidents', 'Roads under Nagpur rural areas', 'died in 97 fatal accidents this year', 'Roads in Wardha district', 'claiming in 2023', 'lost in 61 fatal accidents', 'reduced in Bhandara 45 deaths in 43 fatal accidents in 2022 and 28 deaths in 26 fatal accidents Gondia from 34 deaths 30 fatal accidents in 2022 to 30 deaths in 27 fatal accidents this year and Chandrapur districts from 109 death 96 fatal accidents in 2022 93 deaths in 82 fatal accidents this year', 'deaths in 43 fatal accidents', 'deaths in 2022', 'deaths in 26 fatal accidents', 'accidents in 2022', 'deaths in 27 fatal accidents this year', 'accidents in 2022', 'deaths in 82 fatal accidents this year', 'decline in fatal accidents', 'decline by 13 % 46 % and 40 % respectively']",https://timesofindia.indiatimes.com/city/nagpur/fatal-accidents-drop-31-in-city-rise-67-in-gadchiroli/articleshow/99527784.cms,"Apr 16, 2023"
42,"['accidents in North Maharashtra ’s Jalgaon district', 'rise in the year 2022', 'officials on Friday', 'lost in which', 'rise in number of accidents', 'drop in road accidents', 'drop in fatalities', 'helped in getting expected results', 'dying in road accidents', 'works on the highways', 'spots in Jalgaon', 'install on the highways passing through the crowded areas']",https://timesofindia.indiatimes.com/city/nashik/rise-in-fatal-accidents-in-jalgaon-dist-last-yr/articleshow/99507093.cms,"Apr 15, 2023"
43,"['hit by a car at Hinjewadi along the Katraj Dehu Road bypass', 'car at Hinjewadi', 'hit on Wednesday afternoon', 'driving at the time of the incident', 'hit in its rear', 'declared on arrival by the doctors', 'arrival by the doctors', 'ran on February 16', 'ran over a motorcyclist crushing him to death at Dukkkarkhind on Katraj Dehu bypass road', 'crushing at Dukkkarkhind', 'crushing on Katraj Dehu bypass road', 'fallen on the road', 'ran over him', 'injured in this accident', 'collected by the traffic police speeding and rash driving', 'accidents on highways such as the Katraj Dehu bypass road', 'done by the Pune traffic police', 'done in 2020 21']",https://timesofindia.indiatimes.com/city/pune/hit-by-car-biker-killed-on-punes-katraj-dehu-road-bypass/articleshow/98529239.cms,"Mar 10, 2023"
44,"['died in road accidents in the city', 'accidents in the city', 'died in the first three months of 2023', 'said on Tuesday', 'dead in accidents', 'dead in first 3 months of 2023', 'died in road accidents', 'aged between 18 and 45 years', 'taking in cases of over speeding', 'riding among other offences', 'are on the lookout for motorists riding their bikes without helmets or those indulging in rash driving', 'indulging in rash driving', 'taken by police', 'took at Mirchi Hotel chowk', 'driving by some motorists']",https://timesofindia.indiatimes.com/city/nashik/52-dead-in-road-accidents-in-nashik-in-first-3-months-of-2023/articleshow/99775587.cms,"Apr 26, 2023"
45,"['junction in the city', 'fatalities in three years', 'is among 20 high risk intersections that will be redesigned by the BMC to make them safer', 'redesigned by the BMC', 'reported at Kalanagar Junction--', 'deaths in three years--', 'located in the eastern and western suburbs', 'deaths between 2019 and 2021', 'transform by widening pedestrian crossings and footpaths', 'experts on Thursday', 'darted between vehicles', 'putting at risk', 'post at all times', 'said over the constant blaring of horns', 'is at Amar Mahal Junction', 'partner under the Bloomberg Initiative for Global Road Safety BIGRS', 'involved in reworking the road geometry', 'design at Dharavi depot', 'Data on road crashes in Mumbai', 'crashes in Mumbai', 'conflicts between pedestrians and vehicles', 'junctions in south and central Mumbai', 'redesigned under BIGRS including Nagpada Junction Mela Junction at Mahalaxmi Bharatmata at Parel among others', 'Junction at Mahalaxmi Bharatmata at Parel', 'Bharatmata at Parel', 'Junction among others']",https://timesofindia.indiatimes.com/city/mumbai/amar-mahal-other-junctions-to-focus-on-pedestrian-needs/articleshow/99310270.cms," Apr 7, 2023"
46,"['killed in an accident on the road between Khapri Square and Panjri village', 'accident on the road between Khapri Square and Panjri village', 'road between Khapri Square and Panjri village', 'killed on Saturday morning', 'booked by Beltarodi police', 'killed in a hit and run case at Hingna market', 'case at Hingna market', 'killed on Friday', 'hit by a truck on the bridge', 'truck on the bridge', 'hit in front of a cancer hospital near Jamtha', 'hospital near Jamtha', 'hit on Friday', 'hit by a 35 year old biker Sumeet Dehankar on Amravati Road', 'biker on Amravati Road', 'declared at a private hospital', 'declared on Saturday']",https://timesofindia.indiatimes.com/city/nagpur/woman-senior-citizen-among-4-killed-in-separate-road-accidents/articleshow/99701464.cms,"Apr 23, 2023"
47,"['died on the spot', 'travelling in', 'truck near the Urse toll post around 40 km from Pune on the Pune Mumbai expressway', 'post on the Pune Mumbai expressway', 'crash on Thursday evening', 'traffic on the expressway', 'Dhumal in Pune and his workers', 'was at the high speed', 'halted in the service lane of the expressway', 'hospital in Talegaon']",https://timesofindia.indiatimes.com/city/pune/4-dead-after-compact-suv-hits-road-divider-before-crashing-into-truck-on-pune-mumbai-expressway/articleshow/99305103.cms," Apr 6, 2023"
48,"['struck by a speeding vehicle', 'walk in Thane', 'resulting in multiple fractures', 'occurred on Monday', 'hit by a speeding car', ""walk in Mumbai 's Worli area"", ""walk in Maharashtra 's Thane city"", 'said on Tuesday', 'took on Monday', 'hit by a speeding car', 'walk in Worli area of neighbouring Mumbai', 'Road in Thane', 'was at around 6.30', 'am on Monday when a car hit her at the Yeoor hills gate', 'hit at the Yeoor hills gate', 'suffered in her leg', 'registered under provisions of the Indian Penal Code and the Motor Vehicles Act', 'walk on the Worli sea face promenade', 'walk in Mumbai']",https://timesofindia.indiatimes.com/city/thane/woman-out-on-morning-walk-suffers-multiple-fractures-as-speeding-car-hits-her-in-thane/articleshow/99234959.cms," Apr 4, 2023"
49,"['truck on the Mumbai Agra highway under the Igatpuri police station', 'highway under the Igatpuri police station', 'rammed in the early hours of Friday', 'admitted in the government rural hospitals', 'Police at Ghoti', 'parked on the side of the road on the Mumbai Nashik lane of the highway', 'road on the Mumbai Nashik lane of the highway', 'rammed at around 4.30 am', 'rushed by the ambulance at the Ghoti toll plaza', 'ambulance at the Ghoti toll plaza', 'travelling by the private bus', 'Those at the incident spot']",https://timesofindia.indiatimes.com/city/nashik/at-least-one-dead-in-road-accident-at-mumbai-agra-highway/articleshow/99317327.cms," Apr 7, 2023"
50,"['compensation under the Motor Vehicles Act MVA', 'death in accident', 'said in his March 3 order uploaded on Thursday', 'uploaded on Thursday', 'appeal by The Iffco Tokio General Insurance Co Ltd', 'incident on May 15 2010', ""rider on a friend Sakharam 's motorbike"", 'were on the Mumbai Pune road going towards Kamshet', 'knocked by an autorickshaw which was being driven in a rash and negligent manner', 'driven in a rash and negligent manner', 'treatment in hospital', ""said at the time of Ganesh 's death"", 'earned in a month', 'ply in Thane district', 'merit in the contention', 'was at the time of accident']",https://timesofindia.indiatimes.com/city/mumbai/remarriage-cant-deny-widow-compensation-for-husbands-death-in-road-accident-says-bombay-hc/articleshow/99158309.cms," Apr 1, 2023"
51,"['injured in three separate road accidents in Nashik city and parts of the rural areas on Tuesday and Wednesday', 'accidents in Nashik city and parts of the rural areas', 'accidents on Tuesday and Wednesday', 'people in the accident', 'took in Igatpuri', 'took on Tuesday', 'were on their way home', 'travelling on a bullock cart', 'following on a bike', 'died on spot', 'accident on Wednesday', 'divider on the Untawadi Road', 'going on their bike', 'works in a company in Nashik', 'company in Nashik', 'travelling in a van to Mumbai', 'overturned near Wadivarhe on the Mumbai Agra National Highway', 'Wadivarhe on the Mumbai Agra National Highway', 'overturned on Wednesday morning', 'overturned near the Vaitarna dam', 'overturned on Wednesday afternoon', 'injury in the accident']",https://timesofindia.indiatimes.com/city/nashik/5-dead-5-hurt-in-3-separate-road-accidents-in-nashik-city-rural/articleshow/96923595.cms,"Jan 12, 2023"
52,"['burst in Boisar', 'dropping at around 3 am', 'hit on the Palghar Boisar road in Umroli village', 'road in Umroli village']",https://timesofindia.indiatimes.com/city/mumbai/newly-wed-dies-after-tyre-burst/articleshow/98573539.cms,"Mar 12, 2023"
53,"['roads in the city', 'eye among other infrastructure necessary for preventing road accidents', 'accident on October 8', 'accident near Mirchi Hotel on the Nashik Aurangabad Road that had claimed 13 lives', 'Hotel on the Nashik Aurangabad Road', 'held between officials from different departments', 'roads in Nashik', 'places on the Mumbai Agra highway', 'Going by the police records', 'occurred in the city in which 182 people had lost their lives', 'lost in which', 'fatalities in the city', 'crossings at all junctions', 'chaos on all the roads in the city', 'roads in the city', 'pedestrians on the streets', 'are in constant touch with the Nashik Municipal Corporation', 'crossings on the roads']",https://timesofindia.indiatimes.com/city/nashik/most-nashik-city-roads-yet-to-get-proper-accident-prevention-features/articleshow/98439470.cms," Mar 6, 2023"
